[2024-08-12 19:45:12] [ INFO ] [DaoH2Odontologo:39] Odontologo:  Odontologo{id=2, numeroMatricula=213213, nombre='Juan', apellido='Perez'}
[2024-08-12 19:58:04] [ INFO ] [DaoEnMemoria:19] odontologo guardado en memoria Odontologo{id=1, numeroMatricula=213213, nombre='Clara', apellido='Orozco'}
[2024-08-12 20:08:46] [ INFO ] [DaoH2Odontologo:88] Odontologo{id=1, numeroMatricula=123, nombre='JUAN', apellido='PEREZ'}
[2024-08-12 20:09:16] [ INFO ] [DaoH2Odontologo:41] Odontologo:  Odontologo{id=2, numeroMatricula=213213, nombre='Juan', apellido='Perez'}
[2024-08-12 20:09:16] [ INFO ] [DaoH2Odontologo:88] Odontologo{id=1, numeroMatricula=123, nombre='JUAN', apellido='PEREZ'}
[2024-08-12 20:09:16] [ INFO ] [DaoH2Odontologo:88] Odontologo{id=2, numeroMatricula=213213, nombre='Juan', apellido='Perez'}
[2024-08-12 20:10:06] [ INFO ] [DaoEnMemoria:19] odontologo guardado en memoria Odontologo{id=1, numeroMatricula=213213, nombre='Clara', apellido='Orozco'}
[2024-08-12 20:10:17] [ INFO ] [DaoH2Odontologo:41] Odontologo:  Odontologo{id=2, numeroMatricula=213213, nombre='Juan', apellido='Perez'}
[2024-08-12 20:10:18] [ INFO ] [DaoH2Odontologo:88] Odontologo{id=1, numeroMatricula=213324, nombre='Sara', apellido='Lopez'}
[2024-08-12 20:10:18] [ INFO ] [DaoH2Odontologo:88] Odontologo{id=2, numeroMatricula=213213, nombre='Juan', apellido='Perez'}
[2024-08-12 20:10:43] [ INFO ] [DaoH2Odontologo:41] Odontologo:  Odontologo{id=2, numeroMatricula=964564, nombre='Juan', apellido='Perez'}
[2024-08-12 20:10:43] [ INFO ] [DaoH2Odontologo:88] Odontologo{id=1, numeroMatricula=213324, nombre='Sara', apellido='Lopez'}
[2024-08-12 20:10:43] [ INFO ] [DaoH2Odontologo:88] Odontologo{id=2, numeroMatricula=964564, nombre='Juan', apellido='Perez'}
[2024-08-12 20:17:17] [ INFO ] [DaoEnMemoria:19] odontologo guardado en memoria Odontologo{id=1, numeroMatricula=213213, nombre='Clara', apellido='Orozco'}
[2024-08-12 20:22:11] [ INFO ] [DaoEnMemoria:19] odontologo guardado en memoria Odontologo{id=1, numeroMatricula=213213, nombre='Clara', apellido='Orozco'}
[2024-08-12 20:22:11] [ INFO ] [DaoEnMemoria:19] odontologo guardado en memoria Odontologo{id=2, numeroMatricula=123456, nombre='Juan', apellido='Pérez'}
[2024-08-12 20:22:11] [ INFO ] [DaoEnMemoria:26] odontologo Odontologo{id=1, numeroMatricula=213213, nombre='Clara', apellido='Orozco'}
[2024-08-12 20:22:11] [ INFO ] [DaoEnMemoria:26] odontologo Odontologo{id=2, numeroMatricula=123456, nombre='Juan', apellido='Pérez'}
[2024-08-12 20:22:11] [ INFO ] [DaoEnMemoria:26] odontologo Odontologo{id=1, numeroMatricula=213213, nombre='Clara', apellido='Orozco'}
[2024-08-12 20:22:11] [ INFO ] [DaoEnMemoria:26] odontologo Odontologo{id=2, numeroMatricula=123456, nombre='Juan', apellido='Pérez'}
[2024-08-12 20:22:55] [ INFO ] [DaoEnMemoria:19] odontologo guardado en memoria Odontologo{id=1, numeroMatricula=213213, nombre='Clara', apellido='Orozco'}
[2024-08-12 20:22:55] [ INFO ] [DaoEnMemoria:19] odontologo guardado en memoria Odontologo{id=2, numeroMatricula=123456, nombre='Juan', apellido='Pérez'}
